Diageo	diageo	Diageo была основана в 1997 году, когда Grand Metropolitan и Guinness объединились. Компания имеет корни, возводящиеся к началу 19 века, и владеет такими исторически важными брендами, как Johnnie Walker, Guinness и Smirnoff.
Pernod Ricard	pernod-ricard	Pernod Ricard начал свою историю в 1805 году с создания абсента Pernod Fils во Франции. Компания стала международной силой, приобретая различные марки алкоголя, включая Chivas Regal, Absolut и Jameson.
Bacardi Limited	bacardi-limited	Bacardi была основана в Кубе в 1862 году и остается семейной компанией. Она славится своим ромом, включая Bacardi Superior, и также производит другие алкогольные напитки.
Moët Hennessy	moet-hennessy	Корни Moët Hennessy уходят в 1743 год, когда был создан Moët & Chandon, один из известнейших производителей шампанского. Компания также известна своим коньяком Hennessy и роскошными напитками.
Brown-Forman Corporation	brown-forman	Brown-Forman начала свою историю в 1870 году с основания Jack Daniel's в Теннесси. Она также производит другие алкогольные напитки, такие как Finlandia Vodka и Woodford Reserve.
Beam Suntory	beam-suntory	Beam Suntory объединила два исторических бренда - Jim Beam и Suntory. Jim Beam был основан в 1795 году, а Suntory - в 1899 году в Японии. Эта компания сочетает богатое наследие виски.
Constellation Brands	constellation-brands	Constellation Brands начала как винодельческая компания в США в 1945 году и впоследствии приобрела множество марок пива, вина и текилы, включая Corona и Robert Mondavi.
The Edrington Group	edrington-group	Edrington Group была создана в 1860 году и специализируется на виски высокого качества, включая The Macallan и Highland Park.
William Grant & Sons	william-grant-sons	William Grant & Sons была основана в Шотландии в 1887 году и остается семейным предприятием. Она производит виски, такие как Glenfiddich и Balvenie.
Campari Group	campari-group	Campari Group берет начало в Италии в 1860 году с создания Campari, известного аперитива. Компания также владеет другими известными брендами.
Remy Cointreau	remy-cointreau	Remy Cointreau начала свою историю более двух веков назад во Франции и специализируется на премиум-ликерах и коньяке, включая Remy Martin и Cointreau.
Sazerac Company	sazerac	Sazerac Company - это американская компания, с историей, которая насчитывает более 150 лет. Она производит различные алкогольные напитки, включая Buffalo Trace Bourbon и Southern Comfort.
The Wine Group	wine-group	The Wine Group начала свою историю в 1981 году и стала одним из крупнейших производителей вина в США, владея марками, такими как Franzia и Cupcake.
Heaven Hill Brands	heaven-hill-brands	Heaven Hill Brands - это американская компания, которая начала свою историю в 1935 году и специализируется на производстве виски и других алкогольных напитков, включая Evan Williams и Elijah Craig.
The Macallan	macallan	Шотландский бренд виски из региона Хайленд.
